Name,E168  (12.45%)
Chord(mm),150
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
150.000000,0.000000
149.473500,0.031500
147.946500,0.162000
145.527000,0.406500
142.282500,0.714000
138.219000,1.059000
133.371000,1.468500
127.815000,1.959000
121.635000,2.536500
114.924000,3.195000
107.781000,3.922500
100.306500,4.702500
92.604000,5.509500
84.774000,6.316500
76.912500,7.092000
69.112500,7.800000
61.458000,8.409000
54.028500,8.886000
46.893000,9.201000
40.108500,9.331500
33.727500,9.265500
27.804000,8.992500
22.372500,8.508000
17.461500,7.816500
13.095000,6.940500
9.297000,5.916000
6.103500,4.780500
3.544500,3.570000
1.642500,2.325000
0.430500,1.099500
0.000000,0.000000
0.430500,-1.099500
1.642500,-2.325000
3.544500,-3.570000
6.103500,-4.780500
9.297000,-5.916000
13.095000,-6.940500
17.461500,-7.816500
22.372500,-8.508000
27.804000,-8.992500
33.727500,-9.265500
40.108500,-9.331500
46.893000,-9.201000
54.028500,-8.886000
61.458000,-8.409000
69.112500,-7.800000
76.912500,-7.092000
84.774000,-6.316500
92.604000,-5.509500
100.306500,-4.702500
107.781000,-3.922500
114.924000,-3.195000
121.635000,-2.536500
127.815000,-1.959000
133.371000,-1.468500
138.219000,-1.059000
142.282500,-0.714000
145.527000,-0.406500
147.946500,-0.162000
149.473500,-0.031500
150.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.430500,0.000000
1.642500,0.000000
3.544500,0.000000
6.103500,0.000000
9.297000,0.000000
13.095000,0.000000
17.461500,0.000000
22.372500,0.000000
27.804000,0.000000
33.727500,0.000000
40.108500,0.000000
46.893000,0.000000
54.028500,0.000000
61.458000,0.000000
69.112500,0.000000
76.912500,0.000000
84.774000,0.000000
92.604000,0.000000
100.306500,0.000000
107.781000,0.000000
114.924000,0.000000
121.635000,0.000000
127.815000,0.000000
133.371000,0.000000
138.219000,0.000000
142.282500,0.000000
145.527000,0.000000
147.946500,0.000000
149.473500,0.000000
150.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
150.000000,0.000000
